n,scammer,conversation_days,number_of_conversations,outbounds,inbounds,strategy
174,scammer_1023,0.0,2, 1, 1,gpt-4-Chat2
175,scammer_1024,0.0,2, 1, 1,gpt-4-Chat1
176,scammer_1030,0.490775462962963,4, 2, 2,gpt-4-Chat2
177,scammer_1039,0.0,2, 1, 1,gpt-4-Chat1
178,scammer_1045,2.9902199074074076,18, 5, 13,gpt-4-Chat1
179,scammer_1049,0.0,2, 1, 1,gpt-4-Chat2
180,scammer_1050,1.6669328703703703,4, 2, 2,gpt-4-Chat2
181,scammer_1066,2.1581712962962962,7, 4, 3,gpt-4-Chat1
182,scammer_1078,0.0,2, 1, 1,gpt-4-Chat2
183,scammer_1084,0.0,2, 1, 1,gpt-4-Chat1
184,scammer_1089,0.0,2, 1, 1,gpt-4-Chat1
185,scammer_1090,5.0419328703703705,16, 9, 7,gpt-4-Chat1
186,scammer_1118,0.0,2, 1, 1,gpt-4-Chat1
187,scammer_1126,5.230208333333334,8, 4, 4,gpt-4-Chat2
188,scammer_1157,0.0,2, 1, 1,gpt-4-Chat1
189,scammer_1161,0.0,2, 1, 1,gpt-4-Chat2
190,scammer_1162,0.0,2, 1, 1,gpt-4-Chat1
191,scammer_1172,1.4353935185185185,5, 2, 3,gpt-4-Chat2
192,scammer_1176,0.0,2, 1, 1,gpt-4-Chat1
193,scammer_1194,3.101099537037037,6, 2, 4,gpt-4-Chat1
194,scammer_1206,0.0,2, 1, 1,gpt-4-Chat1
195,scammer_1208,0.0,2, 1, 1,gpt-4-Chat1
196,scammer_1220,1.388761574074074,8, 5, 3,gpt-4-Chat1
197,scammer_1225,4.916365740740741,9, 4, 5,gpt-4-Chat1
198,scammer_1236,0.0,2, 1, 1,gpt-4-Chat1
199,scammer_1243,2.2509722222222224,4, 1, 3,gpt-4-Chat1
200,scammer_1247,1.0544097222222222,5, 1, 4,gpt-4-Chat1
201,scammer_1250,0.8063888888888889,3, 1, 2,gpt-4-Chat1
202,scammer_1289,0.0,2, 1, 1,gpt-4-Chat1
203,scammer_1295,2.0398726851851854,4, 2, 2,gpt-4-Chat2
204,scammer_1296,4.580775462962963,15, 7, 8,gpt-4-Chat1
205,scammer_1303,0.0,2, 1, 1,gpt-4-Chat1
206,scammer_1308,0.0,2, 1, 1,gpt-4-Chat2
207,scammer_1312,2.506666666666667,7, 3, 4,gpt-4-Chat2
208,scammer_1315,0.0,2, 1, 1,gpt-4-Chat2
209,scammer_1333,0.18640046296296298,3, 1, 2,gpt-4-Chat2
210,scammer_1341,0.8987847222222223,3, 1, 2,gpt-4-Chat2
211,scammer_1345,0.09238425925925926,4, 3, 1,gpt-4-Chat1
212,scammer_1350,2.245416666666667,3, 2, 1,gpt-4-Chat2
213,scammer_1351,2.1580902777777777,9, 4, 5,gpt-4-Chat1
214,scammer_1375,0.0,2, 1, 1,gpt-4-Chat2
215,scammer_1378,0.8707870370370371,5, 2, 3,gpt-4-Chat2
216,scammer_1385,0.0,2, 1, 1,gpt-4-Chat1
217,scammer_1386,0.0,2, 1, 1,gpt-4-Chat2
218,scammer_1392,6.392245370370371,6, 3, 3,gpt-4-Chat1
219,scammer_1393,0.0,2, 1, 1,gpt-4-Chat1
220,scammer_1395,0.0,2, 1, 1,gpt-4-Chat2
221,scammer_1399,1.1594907407407407,6, 4, 2,gpt-4-Chat1
222,scammer_1401,3.1509027777777776,4, 1, 3,gpt-4-Chat1
223,scammer_1404,0.57125,3, 1, 2,gpt-4-Chat1
224,scammer_1412,0.0,2, 1, 1,gpt-4-Chat1
225,scammer_1417,0.0,2, 1, 1,gpt-4-Chat1
226,scammer_1419,0.2650578703703704,4, 2, 2,gpt-4-Chat1
